"","total_revenue","category_desc","store_code"
"1",725492.398134828,"Dessert","SHA227"
"2",674987.128808022,"Dessert","SHA312"
"3",2923489.53520381,"Drink","SHA227"
"4",2549900.50494814,"Drink","SHA312"
"5",4782607.52332044,"Main","SHA227"
"6",4799132.22468185,"Main","SHA312"
"7",534190.099989414,"Non-Food","SHA227"
"8",24451,"Non-Food","SHA312"
"9",1602,"Others","SHA227"
"10",4006,"Others","SHA312"
"11",1557203.53019011,"Side Item","SHA227"
"12",240107.03205514,"Side Item","SHA312"
"13",3825750.7149992,"Snack","SHA227"
"14",2957556.5381999,"Snack","SHA312"
