"","x"
"1",",11764,12815"
"2",",6095,11328,12564"
"3",",5348,6060,6061,11447,12383,12390,12391"
"4",",12227"
"5",",5276,5290,5296,5300,5999,6000,12800,12801,12802,12803,12804,12805,12806,12807,12808,12809,12810,12811,12812,12813,12814"
"6",",5371,5372,5373,13322"
"7",",5272,5293,6082,12248,12358,12794"
"8",",11149,11479,11480,11569,11976,12312,12357,12666,12792,12793,13652"
"9",",6074,6076,6182,6186"
"10",",6040,12245,13520"
"11",",5310,5311,5312,5339,6021,6023,6025,6067,11371,12816"
"12",",11533,11535,12237,12787,13651"
"13",",6029,6034,6270,12197,12788,13650"
"14",",5989,5990,5991,13319,13320,13321,13336"
"15",",5319,5383,5984,5986,6250,11537,11851,12315"
"16",",5341,11772,11858"
"17",",5979,11713"
"18",",11470,11649,11770,11856,11857,11941,12348,12386,12757,12758,12786,13118,13119,13647,13648,13649"
"19",",5306,5971,5976,5977,6050,6052,6107,10961,11399,11400,11446,11712,11850,11956,12170,12324,12349,12360,12387,12771,12777,12778,12970,12971,12988,13022,13318,13645,13646"
"20",",5285,11974"
"21",",5968,5969,6105,6106,11331,12228,12351,12910"
"22",",5992,6112"
"23",",11776,11777"
"24",",13641,13642,13643,13644"
"25",",6138,6150,6156,6271,11141,11147,11599,13023,13323"
"26",",13066,13340"
"27",",5410,11778"
