"","X","item_id","category_desc","start_date","end_date","date_count"
"1",8,5306,"Main","2013-05-20","2015-05-17",728
"2",19,5383,"Side Item","2013-05-20","2015-05-17",728
"3",22,5968,"Main","2013-05-20","2015-05-17",728
"4",23,5969,"Main","2013-05-20","2015-05-17",728
"5",25,5976,"Main","2013-06-09","2015-05-14",705
"6",26,5977,"Main","2013-05-20","2015-05-17",728
"7",27,5979,"Side Item","2013-05-20","2015-05-17",728
"8",28,5984,"Side Item","2013-05-20","2015-05-17",728
"9",32,5991,"Side Item","2013-05-20","2015-05-17",728
"10",33,5992,"Main","2013-05-20","2015-05-17",728
"11",37,6023,"Snack","2013-05-20","2014-03-20",305
"12",40,6034,"Snack","2013-05-20","2015-05-17",728
"13",41,6040,"Snack","2013-05-20","2015-05-17",728
"14",52,6106,"Main","2013-05-20","2015-04-18",699
"15",53,6107,"Main","2013-05-20","2015-05-17",728
"16",59,6186,"Drink","2013-05-20","2015-05-17",728
"17",66,11149,"Drink","2013-05-21","2015-05-17",727
"18",70,11399,"Main","2013-05-20","2015-05-17",728
"19",79,11537,"Side Item","2013-05-20","2015-05-17",728
"20",81,11599,"Non-Food","2013-09-26","2013-11-20",56
"21",109,12324,"Main","2013-05-20","2015-02-09",631
"22",112,12351,"Main","2013-05-27","2013-08-27",93
"23",145,12811,"Drink","2014-11-10","2015-05-16",188
"24",149,12815,"Dessert","2014-03-24","2015-03-07",349
